model,metric,mean,median,std_dev,min,max,count
mmt,Coherence,2.33,2.00,1.37,1,4,6
mmt,Overall Rating,2.00,2.00,0.82,1,3,6
mmt,Richness,2.33,2.50,1.11,1,4,6
mmt,Consistency,1.67,1.00,1.11,1,4,6
mmtdelay,Coherence,4.00,4.00,0.58,3,5,6
mmtdelay,Overall Rating,3.33,3.50,0.75,2,4,6
mmtdelay,Richness,3.33,3.50,0.75,2,4,6
mmtdelay,Consistency,3.83,4.00,1.07,2,5,6
remiplus,Coherence,3.50,3.50,0.96,2,5,6
remiplus,Overall Rating,3.00,3.00,1.00,1,4,6
remiplus,Richness,3.50,4.00,1.61,1,5,6
remiplus,Consistency,3.00,2.50,1.15,2,5,6
