model,metric,mean,median,std_dev,min,max,count
cp,Overall Rating,1.75,2.00,0.43,1,2,4
cp,Consistency,2.50,2.50,1.12,1,4,4
cp,Richness,2.25,2.00,0.43,2,3,4
cp,Coherence,1.75,1.50,0.83,1,3,4
cpdelay,Overall Rating,3.25,3.50,0.83,2,4,4
cpdelay,Consistency,4.00,4.00,0.71,3,5,4
cpdelay,Richness,3.00,3.00,1.58,1,5,4
cpdelay,Coherence,3.25,3.00,1.30,2,5,4
nmt,Overall Rating,3.25,3.00,0.43,3,4,4
nmt,Consistency,2.75,2.50,0.83,2,4,4
nmt,Richness,3.50,3.50,0.50,3,4,4
nmt,Coherence,4.25,4.50,0.83,3,5,4
remi,Overall Rating,3.75,4.00,0.43,3,4,4
remi,Consistency,3.50,3.50,0.50,3,4,4
remi,Richness,4.25,4.00,0.43,4,5,4
remi,Coherence,3.00,3.00,0.71,2,4,4
