model,metric,mean,median,std_dev,min,max,count
mmt,Overall Rating,2.43,2.00,0.94,1,4,28
mmt,Consistency,2.57,2.50,0.90,1,4,28
mmt,Richness,3.00,3.00,1.10,1,5,28
mmt,Coherence,2.39,2.00,1.05,1,4,28
mmtdelay,Overall Rating,2.96,3.00,0.98,1,5,28
mmtdelay,Consistency,3.25,3.00,1.09,1,5,28
mmtdelay,Richness,2.93,3.00,0.88,1,4,28
mmtdelay,Coherence,2.93,3.00,1.03,1,5,28
nmt,Overall Rating,3.14,3.00,1.06,1,5,56
nmt,Consistency,3.07,3.00,1.00,1,5,56
nmt,Richness,3.43,3.00,1.00,1,5,56
nmt,Coherence,3.20,3.00,1.01,1,5,56
remiplus,Overall Rating,3.14,3.00,0.74,2,4,28
remiplus,Consistency,3.29,3.00,0.70,2,5,28
remiplus,Richness,3.14,3.00,1.06,1,5,28
remiplus,Coherence,3.25,3.00,0.99,2,5,28
cp,Overall Rating,2.00,2.00,0.93,1,5,28
cp,Consistency,1.89,2.00,0.94,1,5,28
cp,Richness,2.75,3.00,0.99,1,5,28
cp,Coherence,1.75,1.50,0.95,1,5,28
cpdelay,Overall Rating,2.43,2.00,0.94,1,5,28
cpdelay,Consistency,2.61,2.00,1.14,1,5,28
cpdelay,Richness,2.43,2.50,0.73,1,4,28
cpdelay,Coherence,2.61,2.00,1.11,1,5,28
remi,Overall Rating,3.39,3.00,1.05,1,5,28
remi,Consistency,3.29,3.00,1.13,1,5,28
remi,Richness,3.39,3.50,1.11,1,5,28
remi,Coherence,3.25,3.00,1.12,1,5,28
